coverage	zsize	displacement	seed	time_steps	stuck_percentage
2	0.750000	2	22646	180000	0.000000
8	0.750000	11	22646	180000	0.000000
2	0.750000	2	22646	180000	0.000000
6	0.750000	6	22646	180000	0.000000
8	0.750000	15	22646	180000	0.000000
4	0.750000	6	22646	180000	0.000000
13	0.750000	32	22646	180000	0.000000
23	0.750000	35	22646	180000	0.000000
18	0.750000	43	22646	180000	0.000000
21	0.750000	28	22646	180000	0.000000
6	0.750000	8	22646	180000	0.000000
21	0.750000	27	22646	180000	0.000000
14	0.750000	27	22646	180000	0.000000
5	0.750000	6	22646	180000	0.000000
5	0.750000	5	22646	180000	0.000000
15	0.750000	35	22646	180000	0.000000
22	0.750000	50	22646	180000	0.000000
17	0.750000	31	22646	180000	0.000000
13	0.750000	22	22646	180000	0.000000
18	0.750000	27	22646	180000	0.000000
12	0.750000	40	22646	180000	0.000000
5	0.750000	9	22646	180000	0.000000
8	0.750000	12	22646	180000	0.000000
10	0.750000	12	22646	180000	0.000000
27	0.750000	42	22646	180000	0.000000
8	0.750000	10	22646	180000	0.000000
11	0.750000	24	22646	180000	0.000000
17	0.750000	27	22646	180000	0.000000
2	0.750000	2	22646	180000	0.000000
5	0.750000	7	22646	180000	0.000000
13	0.750000	24	22646	180000	0.000000
9	0.750000	9	22646	180000	0.000000
11	0.750000	15	22646	180000	0.000000
4	0.750000	8	22646	180000	0.000000
7	0.750000	14	22646	180000	0.000000
14	0.750000	16	22646	180000	0.000000
12	0.750000	13	22646	180000	0.000000
23	0.750000	39	22646	180000	0.000000
13	0.750000	17	22646	180000	0.000000
7	0.750000	10	22646	180000	0.000000
22	0.750000	43	22646	180000	0.000000
6	0.750000	17	22646	180000	0.000000
11	0.750000	28	22646	180000	0.000000
14	0.750000	22	22646	180000	0.000000
17	0.750000	28	22646	180000	0.000000
6	0.750000	12	22646	180000	0.000000
8	0.750000	9	22646	180000	0.000000
18	0.750000	30	22646	180000	0.000000
23	0.750000	41	22646	180000	0.000000
6	0.750000	7	22646	180000	0.000000
7	0.750000	11	22646	180000	0.000000
35	0.750000	80	22646	180000	0.000000
3	0.750000	3	22646	180000	0.000000
18	0.750000	45	22646	180000	0.000000
23	0.750000	38	22646	180000	0.000000
14	0.750000	50	22646	180000	0.000000
21	0.750000	39	22646	180000	0.000000
14	0.750000	24	22646	180000	0.000000
5	0.750000	9	22646	180000	0.000000
24	0.750000	49	22646	180000	0.000000
7	0.750000	62	22646	180000	0.000000
10	0.750000	16	22646	180000	0.000000
11	0.750000	18	22646	180000	0.000000
41	0.750000	50	22646	180000	0.000000
17	0.750000	29	22646	180000	0.000000
31	0.750000	47	22646	180000	0.000000
11	0.750000	19	22646	180000	0.000000
27	0.750000	55	22646	180000	0.000000
22	0.750000	37	22646	180000	0.000000
12	0.750000	20	22646	180000	0.000000
11	0.750000	23	22646	180000	0.000000
14	0.750000	20	22646	180000	0.000000
24	0.750000	48	22646	180000	0.000000
5	0.750000	9	22646	180000	0.000000
11	0.750000	24	22646	180000	0.000000
44	0.750000	60	22646	180000	0.000000
20	0.750000	39	22646	180000	0.000000
14	0.750000	35	22646	180000	0.000000
22	0.750000	37	22646	180000	0.000000
17	0.750000	42	22646	180000	0.000000
11	0.750000	12	22646	180000	0.000000
23	0.750000	49	22646	180000	0.000000
9	0.750000	11	22646	180000	0.000000
17	0.750000	34	22646	180000	0.000000
23	0.750000	41	22646	180000	0.000000
11	0.750000	18	22646	180000	0.000000
10	0.750000	13	22646	180000	0.000000
16	0.750000	32	22646	180000	0.000000
9	0.750000	35	22646	180000	0.000000
10	0.750000	28	22646	180000	0.000000
11	0.750000	15	22646	180000	0.000000
15	0.750000	24	22646	180000	0.000000
6	0.750000	20	22646	180000	0.000000
5	0.750000	7	22646	180000	0.000000
41	0.750000	82	22646	180000	0.000000
9	0.750000	12	22646	180000	0.000000
16	0.750000	38	22646	180000	0.000000
27	0.750000	51	22646	180000	0.000000
14	0.750000	31	22646	180000	0.000000
19	0.750000	28	22646	180000	0.000000
14	0.750000	21	22646	180000	0.000000
15	0.750000	32	22646	180000	0.000000
20	0.750000	34	22646	180000	0.000000
25	0.750000	43	22646	180000	0.000000
36	0.750000	56	22646	180000	0.000000
16	0.750000	25	22646	180000	0.000000
30	0.750000	70	22646	180000	0.000000
28	0.750000	39	22646	180000	0.000000
10	0.750000	19	22646	180000	0.000000
29	0.750000	74	22646	180000	0.000000
25	0.750000	73	22646	180000	0.000000
27	0.750000	48	22646	180000	0.000000
20	0.750000	49	22646	180000	0.000000
8	0.750000	21	22646	180000	0.000000
13	0.750000	28	22646	180000	0.000000
30	0.750000	39	22646	180000	0.000000
6	0.750000	6	22646	180000	0.000000
26	0.750000	81	22646	180000	0.000000
11	0.750000	20	22646	180000	0.000000
27	0.750000	49	22646	180000	0.000000
15	0.750000	21	22646	180000	0.000000
16	0.750000	26	22646	180000	0.000000
18	0.750000	23	22646	180000	0.000000
19	0.750000	40	22646	180000	0.000000
10	0.750000	19	22646	180000	0.000000
19	0.750000	31	22646	180000	0.000000
18	0.750000	21	22646	180000	0.000000
38	0.750000	122	22646	180000	0.000000
18	0.750000	31	22646	180000	0.000000
10	0.750000	20	22646	180000	0.000000
15	0.750000	41	22646	180000	0.000000
5	0.750000	8	22646	180000	0.000000
7	0.750000	13	22646	180000	0.000000
8	0.750000	40	22646	180000	0.000000
11	0.750000	14	22646	180000	0.000000
14	0.750000	28	22646	180000	0.000000
29	0.750000	70	22646	180000	0.000000
19	0.750000	32	22646	180000	0.000000
36	0.750000	71	22646	180000	0.000000
22	0.750000	46	22646	180000	0.000000
18	0.750000	39	22646	180000	0.000000
10	0.750000	14	22646	180000	0.000000
16	0.750000	26	22646	180000	0.000000
7	0.750000	15	22646	180000	0.000000
18	0.750000	31	22646	180000	0.000000
23	0.750000	36	22646	180000	0.000000
26	0.750000	38	22646	180000	0.000000
18	0.750000	43	22646	180000	0.000000
13	0.750000	25	22646	180000	0.000000
27	0.750000	48	22646	180000	0.000000
30	0.750000	48	22646	180000	0.000000
13	0.750000	21	22646	180000	0.000000
11	0.750000	27	22646	180000	0.000000
20	0.750000	50	22646	180000	0.000000
23	0.750000	45	22646	180000	0.000000
22	0.750000	34	22646	180000	0.000000
18	0.750000	33	22646	180000	0.000000
24	0.750000	31	22646	180000	0.000000
26	0.750000	76	22646	180000	0.000000
26	0.750000	36	22646	180000	0.000000
