coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy	period_coverage
2	0.750000	2	22646	600000	0.000000	0.000134	(1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
2	0.750000	2	22646	600000	0.000000	0.000134	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
2	0.750000	2	22646	600000	0.000000	0.000134	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
2	0.750000	2	22646	600000	0.000000	0.000134	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
4	0.750000	18	22646	600000	0.000000	0.001025	(1 , 1 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4)
12	0.750000	22	22646	600000	0.000000	0.001386	(3 , 3 , 3 , 3 , 3 , 6 , 6 , 6 , 8 , 8 , 8 , 9 , 9 , 9 , 11 , 11 , 11 , 12 , 12 , 12)
9	0.750000	31	22646	600000	0.000000	0.001807	(1 , 2 , 2 , 3 , 4 , 4 , 5 , 5 , 5 , 6 , 8 , 9 , 9 , 9 , 9 , 9 , 9 , 9 , 9 , 9)
4	0.750000	5	22646	600000	0.000000	0.000328	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 4 , 4 , 4 , 4 , 4 , 4)
9	0.750000	22	22646	600000	0.000000	0.001358	(2 , 2 , 3 , 3 , 4 , 7 , 8 , 8 , 8 , 8 , 8 , 8 , 8 , 9 , 9 , 9 , 9 , 9 , 9 , 9)
14	0.750000	27	22646	600000	0.000000	0.001686	(2 , 5 , 8 , 12 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 14)
47	0.750000	114	22646	600000	0.000000	0.006975	(6 , 9 , 12 , 13 , 13 , 17 , 19 , 21 , 28 , 28 , 28 , 30 , 34 , 39 , 39 , 40 , 44 , 47 , 47 , 47)
33	0.750000	131	22646	600000	0.000000	0.007463	(1 , 1 , 1 , 6 , 11 , 14 , 15 , 22 , 25 , 27 , 27 , 28 , 28 , 31 , 31 , 31 , 32 , 32 , 33 , 33)
35	0.750000	114	22646	600000	0.000000	0.006757	(7 , 13 , 19 , 24 , 24 , 26 , 27 , 28 , 29 , 29 , 30 , 30 , 30 , 30 , 30 , 32 , 34 , 34 , 34 , 35)
45	0.750000	109	22646	600000	0.000000	0.006603	(8 , 20 , 24 , 26 , 32 , 34 , 35 , 37 , 37 , 38 , 39 , 39 , 41 , 41 , 41 , 41 , 42 , 43 , 44 , 45)
15	0.750000	46	22646	600000	0.000000	0.002734	(3 , 9 , 9 , 9 , 10 , 14 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15)
41	0.750000	203	22646	600000	0.000000	0.011482	(7 , 15 , 17 , 21 , 22 , 28 , 28 , 29 , 32 , 34 , 36 , 37 , 41 , 41 , 41 , 41 , 41 , 41 , 41 , 41)
33	0.750000	122	22646	600000	0.000000	0.007083	(6 , 12 , 14 , 17 , 17 , 18 , 18 , 18 , 23 , 24 , 26 , 26 , 26 , 26 , 27 , 27 , 28 , 32 , 32 , 33)
24	0.750000	129	22646	600000	0.000000	0.007208	(4 , 6 , 6 , 6 , 8 , 9 , 10 , 10 , 13 , 16 , 17 , 19 , 21 , 23 , 23 , 23 , 23 , 23 , 24 , 24)
30	0.750000	136	22646	600000	0.000000	0.007778	(6 , 9 , 11 , 13 , 16 , 16 , 21 , 24 , 25 , 26 , 26 , 26 , 27 , 27 , 27 , 27 , 27 , 27 , 29 , 30)
39	0.750000	130	22646	600000	0.000000	0.007576	(6 , 13 , 15 , 23 , 25 , 30 , 30 , 31 , 33 , 35 , 35 , 36 , 36 , 36 , 36 , 36 , 36 , 36 , 37 , 39)
58	0.750000	216	22646	600000	0.000000	0.012686	(4 , 16 , 20 , 23 , 26 , 35 , 38 , 40 , 42 , 42 , 42 , 42 , 43 , 46 , 49 , 50 , 50 , 52 , 55 , 58)
46	0.750000	128	22646	600000	0.000000	0.007634	(6 , 15 , 19 , 21 , 21 , 24 , 24 , 27 , 27 , 30 , 31 , 32 , 34 , 37 , 42 , 42 , 42 , 42 , 44 , 46)
70	0.750000	191	22646	600000	0.000000	0.011536	(10 , 15 , 21 , 31 , 38 , 45 , 49 , 52 , 54 , 55 , 56 , 61 , 68 , 68 , 68 , 68 , 69 , 69 , 69 , 70)
61	0.750000	134	22646	600000	0.000000	0.008294	(4 , 8 , 10 , 14 , 16 , 23 , 25 , 32 , 33 , 33 , 34 , 34 , 37 , 38 , 38 , 39 , 44 , 49 , 55 , 61)
51	0.750000	200	22646	600000	0.000000	0.011656	(9 , 14 , 21 , 24 , 24 , 28 , 28 , 29 , 29 , 34 , 34 , 37 , 37 , 37 , 37 , 37 , 39 , 43 , 46 , 51)
