coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy	period_coverage
87	0.750000	394	22646	12000000	0.000000	0.022571	(10 , 17 , 21 , 24 , 24 , 30 , 35 , 46 , 57 , 63 , 63 , 63 , 68 , 69 , 72 , 72 , 75 , 75 , 76 , 76 , 76 , 76 , 76 , 76 , 76 , 77 , 78 , 78 , 78 , 79 , 79 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 83 , 84 , 85 , 85 , 85 , 85 , 85 , 85 , 85 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87)
87	0.750000	394	22646	3000000	0.000000	0.022571	(10 , 17 , 21 , 24 , 24 , 30 , 35 , 46 , 57 , 63 , 63 , 63 , 68 , 69 , 72 , 72 , 75 , 75 , 76 , 76 , 76 , 76 , 76 , 76 , 76 , 77 , 78 , 78 , 78 , 79 , 79 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 83 , 84 , 85 , 85 , 85 , 85 , 85 , 85 , 85 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87 , 87)
2	0.750000	2	22646	600000	0.000000	0.000134	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
2	0.750000	2	22646	600000	0.000000	0.000134	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
5	0.750000	5	22646	600000	0.000000	0.000336	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 5 , 5 , 5)
2	0.750000	2	22646	600000	0.000000	0.000134	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
3	0.750000	3	22646	600000	0.000000	0.000202	(1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 3)
2	0.750000	2	22646	600000	0.000000	0.000134	(1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
5	0.750000	7	22646	600000	0.000000	0.000455	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 4 , 5 , 5 , 5 , 5 , 5 , 5)
2	0.750000	4	22646	600000	0.000000	0.000254	(1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2)
7	0.750000	11	22646	600000	0.000000	0.000709	(2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 7 , 7)
5	0.750000	6	22646	600000	0.000000	0.000396	(2 , 2 , 2 , 2 , 2 , 2 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5)
6	0.750000	13	22646	600000	0.000000	0.000803	(2 , 2 , 4 , 4 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6)
7	0.750000	19	22646	600000	0.000000	0.001134	(1 , 1 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 6 , 7 , 7 , 7)
6	0.750000	23	22646	600000	0.000000	0.001362	(1 , 2 , 3 , 3 , 3 , 3 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6)
6	0.750000	15	22646	600000	0.000000	0.000926	(1 , 2 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 5 , 5 , 5 , 5 , 5 , 5 , 6 , 6 , 6)
4	0.750000	44	22646	600000	0.000000	0.002309	(2 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4)
8	0.750000	23	22646	600000	0.000000	0.001361	(1 , 3 , 3 , 3 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 7 , 8)
24	0.750000	47	22646	600000	0.000000	0.002927	(2 , 4 , 5 , 6 , 8 , 9 , 9 , 9 , 9 , 12 , 12 , 12 , 12 , 12 , 12 , 18 , 21 , 24 , 24 , 24)
12	0.750000	42	22646	600000	0.000000	0.002428	(2 , 2 , 2 , 3 , 4 , 5 , 5 , 5 , 8 , 8 , 8 , 8 , 8 , 10 , 12 , 12 , 12 , 12 , 12 , 12)
12	0.750000	35	22646	600000	0.000000	0.002085	(2 , 3 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 6 , 6 , 12 , 12 , 12 , 12 , 12 , 12 , 12)
14	0.750000	49	22646	600000	0.000000	0.002880	(3 , 3 , 3 , 3 , 6 , 7 , 8 , 8 , 8 , 8 , 8 , 11 , 11 , 11 , 13 , 13 , 13 , 13 , 14 , 14)
24	0.750000	51	22646	600000	0.000000	0.003156	(3 , 4 , 6 , 7 , 8 , 8 , 8 , 8 , 11 , 12 , 13 , 15 , 17 , 17 , 17 , 20 , 21 , 21 , 23 , 24)
34	0.750000	87	22646	600000	0.000000	0.005248	(4 , 4 , 5 , 7 , 7 , 8 , 11 , 16 , 18 , 21 , 25 , 31 , 32 , 32 , 32 , 33 , 34 , 34 , 34 , 34)
19	0.750000	40	22646	600000	0.000000	0.002479	(2 , 3 , 5 , 7 , 9 , 11 , 12 , 13 , 13 , 14 , 15 , 15 , 16 , 16 , 16 , 16 , 17 , 19 , 19 , 19)
22	0.750000	60	22646	600000	0.000000	0.003620	(3 , 4 , 6 , 7 , 7 , 7 , 7 , 11 , 12 , 17 , 20 , 20 , 21 , 21 , 21 , 21 , 21 , 21 , 21 , 22)
12	0.750000	31	22646	600000	0.000000	0.001855	(2 , 4 , 4 , 5 , 5 , 5 , 6 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 8 , 8 , 10 , 11 , 12)
