coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy
30	0.750000	48	22646	180000	0.000000	0.003061
13	0.750000	21	22646	180000	0.000000	0.001344
11	0.750000	27	22646	180000	0.000000	0.001609
20	0.750000	50	22646	180000	0.000000	0.003071
23	0.750000	45	22646	180000	0.000000	0.002813
22	0.750000	34	22646	180000	0.000000	0.002183
18	0.750000	33	22646	180000	0.000000	0.002091
24	0.750000	31	22646	180000	0.000000	0.002030
26	0.750000	76	22646	180000	0.000000	0.004530
26	0.750000	36	22646	180000	0.000000	0.002334
