coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy	period_coverage
5	0.750000	5	22646	600000	0.000000	0.000336	(1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 4 , 5 , 5 , 5 , 5 , 5)
13	0.750000	17	22646	600000	0.000000	0.001112	(3 , 3 , 3 , 5 , 8 , 10 , 10 , 10 , 10 , 10 , 10 , 10 , 10 , 11 , 13 , 13 , 13 , 13 , 13 , 13)
17	0.750000	26	22646	600000	0.000000	0.001657	(2 , 4 , 4 , 6 , 7 , 7 , 7 , 7 , 8 , 8 , 9 , 10 , 11 , 11 , 11 , 13 , 15 , 17 , 17 , 17)
14	0.750000	15	22646	600000	0.000000	0.001001	(2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 7 , 7 , 10 , 10 , 11 , 14 , 14 , 14 , 14 , 14)
15	0.750000	17	22646	600000	0.000000	0.001127	(2 , 2 , 6 , 7 , 8 , 9 , 12 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15 , 15)
10	0.750000	24	22646	600000	0.000000	0.001460	(2 , 2 , 2 , 3 , 5 , 5 , 5 , 5 , 7 , 7 , 7 , 7 , 7 , 8 , 9 , 9 , 9 , 9 , 9 , 10)
37	0.750000	63	22646	600000	0.000000	0.004005	(8 , 12 , 13 , 14 , 19 , 21 , 21 , 21 , 23 , 24 , 27 , 30 , 34 , 34 , 34 , 35 , 36 , 37 , 37 , 37)
15	0.750000	30	22646	600000	0.000000	0.001885	(5 , 6 , 9 , 10 , 11 , 11 , 12 , 13 , 14 , 14 , 14 , 14 , 14 , 14 , 15 , 15 , 15 , 15 , 15 , 15)
29	0.750000	64	22646	600000	0.000000	0.003950	(1 , 8 , 15 , 17 , 18 , 21 , 21 , 21 , 21 , 21 , 23 , 24 , 24 , 24 , 24 , 24 , 25 , 26 , 27 , 29)
12	0.750000	25	22646	600000	0.000000	0.001564	(2 , 5 , 5 , 6 , 8 , 10 , 11 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12)
35	0.750000	109	22646	600000	0.000000	0.006548	(7 , 10 , 11 , 11 , 14 , 16 , 17 , 18 , 18 , 19 , 22 , 23 , 23 , 23 , 23 , 26 , 33 , 34 , 35 , 35)
34	0.750000	81	22646	600000	0.000000	0.004950	(8 , 12 , 12 , 12 , 12 , 13 , 14 , 16 , 18 , 20 , 23 , 27 , 30 , 31 , 31 , 31 , 33 , 33 , 34 , 34)
38	0.750000	90	22646	600000	0.000000	0.005478	(6 , 12 , 17 , 22 , 24 , 24 , 25 , 25 , 25 , 25 , 26 , 28 , 33 , 35 , 35 , 38 , 38 , 38 , 38 , 38)
15	0.750000	50	22646	600000	0.000000	0.002946	(5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 8 , 10 , 11 , 13 , 13 , 14 , 15 , 15 , 15 , 15)
69	0.750000	226	22646	600000	0.000000	0.013373	(7 , 15 , 18 , 18 , 22 , 27 , 30 , 31 , 35 , 35 , 37 , 38 , 45 , 47 , 54 , 58 , 59 , 67 , 68 , 69)
30	0.750000	132	22646	600000	0.000000	0.007521	(4 , 4 , 7 , 10 , 10 , 14 , 17 , 17 , 18 , 21 , 21 , 21 , 26 , 29 , 29 , 30 , 30 , 30 , 30 , 30)
43	0.750000	69	22646	600000	0.000000	0.004406	(7 , 7 , 13 , 16 , 22 , 24 , 28 , 28 , 28 , 32 , 33 , 36 , 37 , 38 , 38 , 38 , 39 , 41 , 42 , 43)
39	0.750000	128	22646	600000	0.000000	0.007541	(5 , 5 , 9 , 14 , 20 , 20 , 24 , 26 , 28 , 35 , 36 , 36 , 37 , 37 , 37 , 37 , 37 , 37 , 39 , 39)
63	0.750000	228	22646	600000	0.000000	0.013298	(10 , 17 , 17 , 20 , 27 , 29 , 40 , 46 , 47 , 49 , 56 , 59 , 60 , 60 , 60 , 60 , 60 , 61 , 62 , 63)
51	0.750000	97	22646	600000	0.000000	0.006088	(6 , 11 , 14 , 17 , 19 , 22 , 24 , 27 , 27 , 28 , 29 , 32 , 33 , 39 , 42 , 44 , 45 , 48 , 50 , 51)
43	0.750000	175	22646	600000	0.000000	0.010101	(13 , 21 , 25 , 28 , 28 , 28 , 35 , 38 , 39 , 40 , 40 , 41 , 41 , 41 , 41 , 43 , 43 , 43 , 43 , 43)
30	0.750000	134	22646	600000	0.000000	0.007746	(9 , 11 , 11 , 12 , 12 , 16 , 17 , 17 , 18 , 18 , 18 , 18 , 19 , 20 , 20 , 21 , 23 , 27 , 29 , 30)
13	0.750000	33	22646	600000	0.000000	0.002023	(8 , 8 , 8 , 9 , 9 , 9 , 9 , 9 , 9 , 9 , 12 , 12 , 13 , 13 , 13 , 13 , 13 , 13 , 13 , 13)
53	0.750000	145	22646	600000	0.000000	0.008740	(9 , 10 , 10 , 14 , 23 , 25 , 25 , 29 , 31 , 31 , 34 , 34 , 34 , 34 , 35 , 36 , 36 , 37 , 47 , 53)
53	0.750000	151	22646	600000	0.000000	0.009114	(5 , 8 , 8 , 13 , 23 , 26 , 27 , 28 , 28 , 34 , 36 , 37 , 37 , 40 , 46 , 47 , 48 , 51 , 53 , 53)
