coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy
18	0.750000	54	22646	300000	0.000000	0.003248
27	0.750000	57	22646	300000	0.000000	0.003534
21	0.750000	42	22646	300000	0.000000	0.002621
21	0.750000	72	22646	300000	0.000000	0.004235
14	0.750000	28	22646	300000	0.000000	0.001745
9	0.750000	16	22646	300000	0.000000	0.001016
30	0.750000	63	22646	300000	0.000000	0.003874
16	0.750000	47	22646	300000	0.000000	0.002772
24	0.750000	58	22646	300000	0.000000	0.003540
30	0.750000	72	22646	300000	0.000000	0.004427
