coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy	period_coverage
0	0.750000	0	22646	1	0.000000	0.000000	(0)
2	0.750000	2	22646	39032	0.000000	0.000134	(2 , 2)
2	0.250000	2	22646	55301	0.000000	0.000134	(2 , 2)
1	0.250000	1	22646	180000	0.000000	0.000067	(1 , 1 , 1 , 1 , 1 , 1)
1	0.250000	1	22646	17680	0.000000	0.000067	(1)
1	0.250000	1	22646	9660	0.000000	0.000067	(1)
1	0.250000	1	22646	6922	0.000000	0.000067	(1)
1	0.250000	1	22646	9579	0.000000	0.000067	(1)
1	0.250000	1	22646	11953	0.000000	0.000067	(1)
2	0.250000	2	22646	53207	0.000000	0.000134	(2 , 2)
2	0.250000	2	22646	46157	0.000000	0.000134	(2 , 2)
1	0.250000	1	22646	7100	0.000000	0.000067	(1)
1	0.250000	1	22646	372	0.000000	0.000067	(1)
2	0.250000	2	22646	180000	0.000000	0.000134	(2 , 2 , 2 , 2 , 2 , 2)
2	0.250000	2	22646	111879	0.000000	0.000134	(2 , 2 , 2 , 2)
3	0.250000	3	22646	154422	0.000000	0.000202	(1 , 1 , 3 , 3 , 3 , 3)
4	0.250000	4	22646	83504	0.000000	0.000269	(2 , 4 , 4)
5	0.250000	5	22646	66911	0.000000	0.000336	(3 , 5 , 5)
1	0.250000	1	22646	1034	0.000000	0.000067	(1)
5	0.500000	5	22646	168533	0.000000	0.000336	(2 , 2 , 3 , 4 , 4 , 5)
3	0.500000	3	22646	180000	0.000000	0.000202	(1 , 2 , 3 , 3 , 3 , 3)
3	0.500000	3	22646	71478	0.000000	0.000202	(1 , 2 , 3)
3	0.500000	3	22646	112807	0.000000	0.000202	(2 , 3 , 3 , 3)
4	0.500000	4	22646	143792	0.000000	0.000269	(2 , 3 , 3 , 3 , 4)
2	0.500000	2	22646	132014	0.000000	0.000134	(1 , 2 , 2 , 2 , 2)
2	0.500000	2	22646	180000	0.000000	0.000134	(1 , 1 , 2 , 2 , 2 , 2)
4	0.500000	4	22646	152717	0.000000	0.000269	(2 , 3 , 3 , 4 , 4 , 4)
2	0.500000	2	22646	52616	0.000000	0.000134	(1 , 2)
1	0.500000	1	22646	61614	0.000000	0.000067	(1 , 1 , 1)
2	0.500000	2	22646	123396	0.000000	0.000134	(1 , 1 , 2 , 2 , 2)
1	0.500000	1	22646	14125	0.000000	0.000067	(1)
1	0.500000	1	22646	10481	0.000000	0.000067	(1)
1	0.500000	1	22646	5321	0.000000	0.000067	(1)
1	0.500000	1	22646	17585	0.000000	0.000067	(1)
2	0.500000	2	22646	123961	0.000000	0.000134	(1 , 1 , 2 , 2 , 2)
