coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy	l1_learningrate	l2_learningrate	l1_synboost	l2_synboost	l1_TIME	l2_TIME	period_coverage
1	0.750000	1	22646	20194	0.000000	0.000067	0.100000	0.100000	1.100000	1.100000	50	50	(1)
1	0.010000	1	22646	6063	0.000000	0.000067	0.100000	0.100000	1.100000	1.100000	50	50	(1)
9	0.010000	12	22646	100651	0.000000	0.000784	0.100000	0.100000	1.100000	1.100000	50	50	(1 , 1 , 7 , 9)
1	0.010000	1	22646	25815	0.000000	0.000067	0.100000	0.100000	3.000000	3.000000	50	50	(1)
5	0.010000	7	22646	17723	0.000000	0.000455	0.100000	0.100000	3.500000	3.500000	50	50	(5)
8	0.010000	13	22646	42436	0.000000	0.000833	0.100000	0.100000	3.500000	3.500000	50	50	(8 , 8)
42	0.010000	129	22646	368852	0.000000	0.007709	0.100000	0.100000	3.500000	3.500000	50	50	(8 , 15 , 24 , 27 , 28 , 31 , 35 , 35 , 37 , 38 , 39 , 42 , 42)
1	0.010000	1	22646	804	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	708	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	4240	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	820	0.000000	0.000067	0.050000	0.020000	1.500000	1.100000	1	1	(1)
1	0.010000	1	22646	4568	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
4	0.010000	4	22646	18512	0.000000	0.000269	0.100000	0.100000	3.500000	3.500000	50	50	(4)
1	0.010000	1	22646	760	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	1748	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	1504	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	792	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	4026	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
3	0.010000	4	22646	49964	0.000000	0.000261	0.100000	0.100000	3.500000	3.500000	50	50	(1 , 3)
4	0.010000	6	22646	40515	0.000000	0.000388	0.100000	0.100000	3.500000	3.500000	50	50	(2 , 4)
4	0.010000	4	22646	10800	0.000000	0.000269	0.100000	0.100000	3.500000	3.500000	50	50	(4)
3	0.010000	3	22646	30178	0.000000	0.000202	0.100000	0.100000	3.500000	3.500000	50	50	(3 , 3)
1	0.010000	1	22646	1400	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
1	0.010000	1	22646	776	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
4	0.010000	7	22646	42369	0.000000	0.000445	0.100000	0.100000	3.500000	3.500000	50	50	(2 , 4)
1	0.010000	1	22646	1336	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
3	0.010000	3	22646	6381	0.000000	0.000202	0.100000	0.100000	3.500000	3.500000	50	50	(3)
1	0.010000	1	22646	21899	0.000000	0.000067	0.100000	0.100000	3.500000	3.500000	50	50	(1)
